[PORT] Open: demo.testfire.net:25
[PORT] Open: demo.testfire.net:53
[PORT] Open: demo.testfire.net:80
[PORT] Open: demo.testfire.net:443
[PORT] Open: demo.testfire.net:8080
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/security.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=MortgageLendingAccountExecutive:Sales
[FORM XSS] Possible: http://demo.testfire.net/security.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=MortgageLendingAccountExecutive:Sales
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060921.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/login.jsp
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20060921.htm
[FORM XSS] Possible: http://demo.testfire.net/login.jsp
[FORM XSS] Possible: http://demo.testfire.net/status_check.jsp
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/clients.xls
[FORM XSS] Possible: http://demo.testfire.net/status_check.jsp
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/clients.xls
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_careers.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_volunteering.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_internships.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_internships.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/survey_questions.jsp?step=a
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_press.htm
